# C138 — 防范非法金融活动的指南
# persons: 

0001	近年来	jinnianlai	linear
0002	非法	feifa	linear
0003	金融	jinrong	linear
0004	活动	huodong	linear
0005	形式	xingshi	linear
0006	日益	riyi	linear
0007	多样化	duoyanghua	linear
0008	手段	shouduan	linear
0009	不断	buduan	linear
0010	翻新	fanxin	linear
0011	不法分子	bufafenzi	linear
0012	利用	liyong	linear
0013	高额	gaoe	linear
0014	回报	huibao	linear
0015	快速	kuaisu	linear
0016	获利	huoli	linear
0017	等	deng	linear
0018	噱头	xuetou	linear
0019	吸引	xiyin	linear
0020	公众	gongzhong	linear
0021	参与	canyu	linear
0022	非法	feifa	linear
0023	集资	jizi	linear
0024	网络	wangluo	linear
0025	诈骗	zhapian	linear
0026	金融	jinrong	linear
0027	传销	chuanxiao	linear
0028	等	deng	linear
0029	活动	huodong	linear
0030	严重	yanzhong	linear
0031	损害	sunhai	linear
0032	了	le	linear
0033	人民	renmin	linear
0034	群众	qunzhong	linear
0035	的	de	linear
0036	财产	caichan	linear
0037	安全	anquan	linear
0038	和	he	linear
0039	社会	shehui	linear
0040	经济秩序	jingjizhixu	linear
0041	为	wei	linear
0042	防范	fangfan	linear
0043	打击	daji	linear
0044	非法	feifa	linear
0045	金融	jinrong	linear
0046	活动	huodong	linear
0047	保护	baohu	linear
0048	人民	renmin	linear
0049	群众	qunzhong	linear
0050	财产	caichan	linear
0051	安全	anquan	linear
0052	向	xiang	linear
0053	您	nin	linear
0054	如下	ruxia	linear
0055	提示	tishi	linear
0056	一	yi	linear
0057	什么	shenme	linear
0058	是	shi	linear
0059	非法	feifa	linear
0060	金融	jinrong	linear
0061	活动	huodong	linear
0062	非法	feifa	linear
0063	金融	jinrong	linear
0064	活动	huodong	linear
0065	是	shi	linear
0066	指	zhi	linear
0067	未经	weijing	linear
0068	金融管理	jinrongguanli	linear
0069	部门	bumen	linear
0070	依法	yifa	linear
0071	许可	xuke	linear
0072	或者	huozhe	linear
0073	违反	weifan	linear
0074	国家	guojia	linear
0075	金融管理	jinrongguanli	linear
0076	规定	guiding	linear
0077	实质	shizhi	linear
0078	从事	congshi	linear
0079	货币	huobi	linear
0080	支付	zhifu	linear
0081	吸收	xishou	linear
0082	存款	cunkuan	linear
0083	放贷	fangdai	linear
0084	保险	baoxian	linear
0085	证券	zhengquan	linear
0086	基金	jijin	linear
0087	期货	qihuo	linear
0088	外汇	waihui	linear
0089	等	deng	linear
0090	各类	gelei	linear
0091	金融业务	jinrongyewu	linear
0092	活动	huodong	linear
0093	的	de	linear
0094	行为	xingwei	linear
0095	二	er	linear
0096	非法	feifa	linear
0097	金融	jinrong	linear
0098	活动	huodong	linear
0099	的	de	linear
0100	常见	changjian	linear
0101	形式	xingshi	linear
0102	非法	feifa	linear
0103	集资	jizi	linear
0104	不法分子	bufafenzi	linear
0105	往往	wangwang	linear
0106	伪造	weizao	linear
0107	资质	zizhi	linear
0108	假冒	jiamao	linear
0109	政府	zhengfu	linear
0110	支持	zhichi	linear
0111	项目	xiangmu	linear
0112	或	huo	linear
0113	知名企业	zhimingqiye	linear
0114	背景	beijing	linear
0115	以	yi	linear
0116	投资	touzi	linear
0117	项目	xiangmu	linear
0118	为	wei	linear
0119	幌子	huangzi	linear
0120	通过	tongguo	linear
0121	高额	gaoe	linear
0122	回报	huibao	linear
0123	保本	baoben	linear
0124	保	bao	linear
0125	收益	shouyi	linear
0126	等	deng	linear
0127	虚假	xujia	linear
0128	承诺	chengnuo	linear
0129	为	wei	linear
0130	诱饵	youer	linear
0131	诱导	youdao	linear
0132	公众	gongzhong	linear
0133	将	jiang	linear
0134	资金投入	zijintouru	linear
0135	非法	feifa	linear
0136	集资	jizi	linear
0137	活动	huodong	linear
0138	这些	zhexie	linear
0139	项目	xiangmu	linear
0140	通常	tongchang	linear
0141	缺乏	quefa	linear
0142	真实	zhenshi	linear
0143	的	de	linear
0144	经营	jingying	linear
0145	内容	neirong	linear
0146	在	zai	linear
0147	快速	kuaisu	linear
0148	募集	muji	linear
0149	资金	zijin	linear
0150	后	hou	linear
0151	突然	turan	linear
0152	跑	pao	linear
0153	路	lu	linear
0154	导致	daozhi	linear
0155	投资者	touzizhe	linear
