# K631 — 江苏省南京市秦淮区人民法院（2023）苏0104民初6627号民事判决书
# persons: 

0001	江苏省	jiangsusheng	linear
0002	南京市	nanjingshi	linear
0003	秦淮区	qinhuaiqu	linear
0004	人民法院	renminfayuan	linear
0005	民初	minchu	linear
0006	民事	minshi	linear
0007	判决书	panjueshu	linear
0008	原告	yuangao	linear
0009	江苏	jiangsu	linear
0010	某某	moumou	linear
0011	股份	gufen	linear
0012	有限公司	youxiangongsi	linear
0013	法定代表	fadingdaibiao	linear
0014	夏某	xiamou	linear
0015	董事长	dongshizhang	linear
0016	委托	weituo	linear
0017	诉讼	susong	linear
0018	代理人	dailiren	linear
0019	叶强	yeqiang	linear
0020	江苏	jiangsu	linear
0021	联创	lianchuang	linear
0022	伟业	weiye	linear
0023	律师	lvshi	linear
0024	事务所律师	shiwusuolvshi	linear
0025	委托	weituo	linear
0026	诉讼	susong	linear
0027	代理人	dailiren	linear
0028	邓惠尹	denghuiyin	linear
0029	江苏	jiangsu	linear
0030	联创	lianchuang	linear
0031	伟业	weiye	linear
0032	律师	lvshi	linear
0033	事务所律师	shiwusuolvshi	linear
0034	被告	beigao	linear
0035	某某	moumou	linear
0036	原告	yuangao	linear
0037	江苏	jiangsu	linear
0038	某某	moumou	linear
0039	股份	gufen	linear
0040	有限公司	youxiangongsi	linear
0041	被告	beigao	linear
0042	某某	moumou	linear
0043	金融	jinrong	linear
0044	借款	jiekuan	linear
0045	合同纠纷	hetongjiufen	linear
0046	一案	yian	linear
0047	本院	benyuan	linear
0048	立案	lian	linear
0049	受理	shouli	linear
0050	依法	yifa	linear
0051	适用	shiyong	linear
0052	简易程序	jianyichengxu	linear
0053	公开	gongkai	linear
0054	开庭	kaiting	linear
0055	进行	jinxing	linear
0056	审理	shenli	linear
0057	原告	yuangao	linear
0058	江苏	jiangsu	linear
0059	某某	moumou	linear
0060	股份	gufen	linear
0061	有限公司	youxiangongsi	linear
0062	委托	weituo	linear
0063	诉讼	susong	linear
0064	代理人	dailiren	linear
0065	叶强	yeqiang	linear
0066	到庭	daoting	linear
0067	参加	canjia	linear
0068	诉讼	susong	linear
0069	被告	beigao	linear
0070	某某	moumou	linear
0071	本院	benyuan	linear
0072	合法	hefa	linear
0073	传唤	chuanhuan	linear
0074	正当理由	zhengdangliyou	linear
0075	到庭	daoting	linear
0076	参加	canjia	linear
0077	诉讼	susong	linear
0078	本院	benyuan	linear
0079	依法	yifa	linear
0080	进行	jinxing	linear
0081	缺席	quexi	linear
0082	审理	shenli	linear
0083	本案	benan	linear
0084	现已	xianyi	linear
0085	审理	shenli	linear
0086	终结	zhongjie	linear
0087	原告	yuangao	linear
0088	江苏	jiangsu	linear
0089	某某	moumou	linear
0090	股份	gufen	linear
0091	有限公司	youxiangongsi	linear
0092	请求	qingqiu	linear
0093	法院	fayuan	linear
0094	判令	panling	linear
0095	判令	panling	linear
0096	被告	beigao	linear
0097	立即	liji	linear
0098	给付	jifu	linear
0099	原告	yuangao	linear
0100	欠款	qiankuan	linear
0101	共计	gongji	linear
0102	截至	jiezhi	linear
0103	欠款	qiankuan	linear
0104	本金	benjin	linear
0105	利息	lixi	linear
0106	罚息	faxi	linear
0107	复利	fuli	linear
0108	日起	riqi	linear
0109	利息	lixi	linear
0110	罚息	faxi	linear
0111	复利	fuli	linear
0112	个人消费	gerenxiaofei	linear
0113	某某	moumou	linear
0114	某某	moumou	linear
0115	合同	hetong	linear
0116	约定	yueding	linear
0117	计算	jisuan	linear
0118	实际	shiji	linear
0119	清偿	qingchang	linear
0120	之日止	zhirizhi	linear
0121	判令	panling	linear
0122	被告	beigao	linear
0123	立即	liji	linear
0124	给付	jifu	linear
0125	原告	yuangao	linear
0126	律师	lvshi	linear
0127	费用	feiyong	linear
0128	本案	benan	linear
0129	全部	quanbu	linear
0130	诉讼费用	susongfeiyong	linear
0131	被告	beigao	linear
0132	承担	chengdan	linear
0133	事实	shishi	linear
0134	理由	liyou	linear
0135	被告	beigao	linear
0136	通过	tongguo	linear
0137	某某某	moumoumou	linear
0138	某某	moumou	linear
0139	平台	pingtai	linear
0140	原告	yuangao	linear
0141	申请	shenqing	linear
0142	借款	jiekuan	linear
0143	签订	qianding	linear
0144	多份	duofen	linear
0145	个人消费	gerenxiaofei	linear
0146	某某	moumou	linear
0147	某某	moumou	linear
0148	合同	hetong	linear
0149	其中	qizhong	linear
0150	某某	moumou	linear
0151	合同	hetong	linear
0152	约定	yueding	linear
0153	某某	moumou	linear
0154	初始	chushi	linear
0155	利率	lilv	linear
0156	日利率	rililv	linear
0157	剩余	shengyu	linear
0158	某某	moumou	linear
0159	合同	hetong	linear
0160	约定	yueding	linear
0161	某某	moumou	linear
0162	初始	chushi	linear
0163	利率	lilv	linear
0164	日利率	rililv	linear
0165	某某	moumou	linear
0166	合同	hetong	linear
0167	约定	yueding	linear
0168	还款	haikuan	linear
0169	方式	fangshi	linear
0170	等额	denge	linear
0171	本息	benxi	linear
0172	罚息	faxi	linear
0173	利率	lilv	linear
0174	某某	moumou	linear
0175	初始	chushi	linear
0176	日利率	rililv	linear
0177	水平	shuiping	linear
