# K324 — 龙棋
# persons: 

0001	龙棋	longqi	linear
0002	是	shi	linear
0003	年	nian	linear
0004	由	you	linear
0005	加里	jiali	linear
0006	吉盖	jigai	linear
0007	克斯	kesi	linear
0008	在	zai	linear
0009	龙	long	linear
0010	与	yu	linear
0011	地下城	dixiacheng	linear
0012	杂志	zazhi	linear
0013	推出	tuichu	linear
0014	的	de	linear
0015	国际象棋	guojixiangqi	linear
0016	变体	bianti	linear
0017	作为	zuowei	linear
0018	龙	long	linear
0019	与	yu	linear
0020	地下	dixia	linear
0021	城中	chengzhong	linear
0022	的	de	linear
0023	游戏	youxi	linear
0024	棋具	qiju	linear
0025	方格	fangge	linear
0026	的	de	linear
0027	多层	duoceng	linear
0028	棋盘	qipan	linear
0029	三层	sanceng	linear
0030	分别	fenbie	linear
0031	名为	mingwei	linear
0032	天空	tiankong	linear
0033	地上	dishang	linear
0034	地底	didi	linear
0035	棋子	qizi	linear
0036	兵种	bingzhong	linear
0037	共	gong	linear
0038	十五种	shiwuzhong	linear
0039	每方	meifang	linear
0040	各四	gesi	linear
0041	十二	shier	linear
0041	枚	mei	linear
0042	天空	tiankong	linear
0043	龙	long	linear
0044	一枚	yimei	linear
0045	狮鹰	shiying	linear
0046	两枚	liangmei	linear
0047	风精	fengjing	linear
0048	六枚	liumei	linear
0049	地上	dishang	linear
0050	国王	guowang	linear
0051	一枚	yimei	linear
0052	法师	fashi	linear
0053	一枚	yimei	linear
0054	圣	sheng	linear
0055	武士	wushi	linear
0056	一枚	yimei	linear
0057	僧侣	senglv	linear
0058	一枚	yimei	linear
0059	英雄	yingxiong	linear
0060	两枚	liangmei	linear
0061	盗贼	daozei	linear
0062	两枚	liangmei	linear
0063	独角兽	dujiaoshou	linear
0064	两枚	liangmei	linear
0065	猛玛	mengma	linear
0066	两枚	liangmei	linear
0067	战士	zhanshi	linear
0068	十二	shier	linear
0068	枚	mei	linear
0069	地底	didi	linear
0070	元素	yuansu	linear
0071	一枚	yimei	linear
0072	蜥怪	xiguai	linear
0073	两枚	liangmei	linear
0074	矮人	airen	linear
0075	六枚	liumei	linear
0076	规则	guize	linear
0077	两方	liangfang	linear
0078	轮	lun	linear
0079	流动	liudong	linear
0080	一著	yizhu	linear
0081	移动	yidong	linear
0082	若至	ruozhi	linear
0083	敌棋	diqi	linear
0083	处	chu	linear
0084	则	ze	linear
0085	将	jiang	linear
0086	该	gai	linear
0087	敌棋	diqi	linear
0088	移除	yichu	linear
0089	游戏	youxi	linear
0090	以	yi	linear
0091	将	jiang	linear
0092	死	si	linear
0093	敌方	difang	linear
0094	国王	guowang	linear
0095	为胜	weisheng	linear
0096	僵死	jiangsi	linear
0097	或	huo	linear
0098	连续	lianxu	linear
0099	用	yong	linear
0100	同一	tongyi	linear
0101	子	zi	linear
0102	将军	jiangjun	linear
0103	为	wei	linear
0104	和	he	linear
0105	局	ju	linear
0106	棋子	qizi	linear
0107	移动	yidong	linear
0108	天空	tiankong	linear
0109	层	ceng	linear
0110	棋子	qizi	linear
0111	风精	fengjing	linear
0112	在	zai	linear
0113	天空	tiankong	linear
0114	往斜	wangxie	linear
0115	前方	qianfang	linear
0116	移动	yidong	linear
0117	一格	yige	linear
0118	至	zhi	linear
0119	空处	kongchu	linear
0120	或	huo	linear
0120	往	wang	linear
0121	正前	zhengqian	linear
0122	一格	yige	linear
0123	至	zhi	linear
0124	敌棋	diqi	linear
0124	处	chu	linear
0125	往	wang	linear
0126	正下方	zhengxiafang	linear
0127	一层	yiceng	linear
0128	吃	chi	linear
0129	敌棋	diqi	linear
0130	在	zai	linear
0131	地上	dishang	linear
0132	往	wang	linear
0133	正上方	zhengshangfang	linear
0134	一层	yiceng	linear
0135	的	de	linear
0136	空处	kongchu	linear
0137	回到	huidao	linear
0138	该	gai	linear
0139	棋种	qizhong	linear
0140	初始	chushi	linear
0141	布置	buzhi	linear
0142	的	de	linear
0143	空处	kongchu	linear
0144	不	bu	linear
0145	受	shou	linear
0146	其他	qita	linear
0147	棋子	qizi	linear
0148	抵挡	didang	linear
0149	狮鹰	shiying	linear
0150	在	zai	linear
0151	天空	tiankong	linear
0152	移动	yidong	linear
0153	如	ru	linear
0154	国际象棋	guojixiangqi	linear
0155	的	de	linear
0156	骑士	qishi	linear
0157	可往	kewang	linear
0158	斜	xie	linear
0159	下方	xiafang	linear
0160	一层	yiceng	linear
0161	吃	chi	linear
0162	敌棋	diqi	linear
0163	在	zai	linear
0164	地上	dishang	linear
0165	斜	xie	linear
0166	向	xiang	linear
0167	一格	yige	linear
0168	至	zhi	linear
0169	空处	kongchu	linear
0170	或	huo	linear
0171	敌棋	diqi	linear
0171	处	chu	linear
0172	往斜	wangxie	linear
0173	上方	shangfang	linear
0174	一层	yiceng	linear
0175	至	zhi	linear
0175	空处	kongchu	linear
0176	龙	long	linear
0177	在	zai	linear
0178	天空	tiankong	linear
0179	移动	yidong	linear
0180	如	ru	linear
0181	日本	riben	linear
0182	将	jiang	linear
0183	棋	qi	linear
0184	的	de	linear
0185	龙马	longma	linear
